type produit;numero AMM;nom produit;Composition;Revendication;Dénomination de classe;
MFSC;1170265;TERRA-SORB FOLIAR;Matière sèche (Min: 23.0 % MB, Max: 23.0 % MB)  | Acides aminés totaux (Min: 13.6 % MB, Max: 13.6 % MB)  | Acides aminés totaux libres (Min: 11.5 % MB, Max: 11.5 % MB) ;Matière organique totale (Min:  , Max:  )  | Azote total (Min:  , Max:  )  | Azote organique (Min:  , Max:  )  | Bore (B) (Min:  , Max:  )  | Manganèse (Mn) (Min:  , Max:  )  | Zinc (Zn) (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1171104;VALORSEED;Matière sèche (Min: 92.0 % MB, Max: 92.0 % MB)  | Oxyde de calcium (CaO) (Min: 39.0 % MB, Max: 39.0 % MB)  | Oxyde de magnésium (MgO) (Min: 3.5 % MB, Max: 3.5 % MB)  | P2O5 total (Min: 2.0 % MB, Max: 2.0 % MB)  | Fer (Fe) total (Min: 14.8 % MB, Max: 14.8 % MB)  | Valeur neutralisante (Min: 45.0 , Max: 45.0 )  | Finesse de mouture passant à 0,630 mm (Min: 60.0 % MB, Max: 60.0 % MB)  | Finesse de mouture passant à 0,315 mm (Min: 45.0 % MB, Max: 45.0 % MB)  | Finesse de mouture passant à 0,160 mm (Min: 30.0 % MB, Max: 30.0 % MB) ;pH (Min:  , Max:  ) ;Amendement minéral basique;
MFSC;8810131;AGROSIL LR GRANULES;;;;
MFSC;6171096;ESMAG-FAMILLE;Valeur neutralisante (Min: 55.0  , Max: 77.0  )  | SO3 total (Min: 5.0 % MB, Max: 17.0 % MB)  | MgO total (Min: 4.0 % MB, Max: 10.0 % MB)  | CaO total (Min: 45.0 % MB, Max: 71.0 % MB) ;Matière séche (Min:  , Max:  )  | Finesse de mouture (Min:  , Max:  ) ;Amendement minéral basique - Engrais;
MFSC;1200156;FERTECH FRUIT;Matière sèche (Min: 31.5 %, Max: 31.5 %)  | Azote (N) total (Min: 2.0 %, Max: 2.0 %)  | Acide glutamique (Min: 0.43 %, Max: 0.43 %)  | Bore (B) (Min: 0.3 %, Max: 0.3 %)  | Cuivre chélaté (Min: 0.1 %, Max: 0.1 %)  | Fer (Fe) Chélaté EDTA (Min: 0.68 %, Max: 0.68 %)  | Manganèse chélaté (Min: 0.5 %, Max: 0.5 %)  | Molybdène (Mo) (Min: 0.01 %, Max: 0.01 %)  | Zinc chélaté (Min: 0.5 %, Max: 0.5 %)  | Extrait d'algues Ascophyllum nodosum (Min: 27.0 %, Max: 27.0 %)  | pH (Min: 5.5 , Max: 5.5 ) ;;Matière fertilisante;
MFSC;1190498;VERTIGO;Matière sèche (Min: 10.0 %, Max: 10.0 %)  | Oxyde de potassium total (K2O) soluble dans l'eau (Min: 4.0 %, Max: 4.0 %)  | Carbone organique (C) (Min: 1.5 %, Max: 1.5 %)  | pH (Min: 13.8 , Max: 13.8 ) ;;Matière fertilisante;
MFSC;1190337;FHAMST-N;Matière sèche (Min: 93.0 % MB, Max: 93.0 % MB)  | Azote (N) total (Min: 22.0 % MB, Max: 22.0 % MB)  | Azote uréique (Min: 22.0 % MB, Max: 22.0 % MB)  | Oxyde de potassium (K2O) total (Min: 5.5 % MB, Max: 5.5 % MB)  | Carbone organique (C) total (Min: 26.0 % MB, Max: 26.0 % MB)  | Extrait humique total (Min: 35.5 % MB, Max: 35.5 % MB)  | Carbone organique des acides humiques (Min: 14.0 % MB, Max: 14.0 % MB)  | Carbone organique des acides fulviques (Min: 6.0 % MB, Max: 6.0 % MB)  | Mannitol (Min: 0.22 % MB, Max: 0.22 % MB)  | Acides aminés totaux (Min: 3.3 % MB, Max: 3.3 % MB) ;pH (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1210082;KITOGREEN YIELD;Matière sèche (Min: 90.0 %, Max: 90.0 %)  | Azote total (N) (Min: 6.0 %, Max: 6.0 %)  | Azote (N) organique (Min: 6.0 %, Max: 6.0 %) ;;Matière fertilisante;
MFSC;1180308;HI SPORE;;;Préparation fongique;
MFSC;1170375;MYCORRHIZAE PREMIER TECH-P501;Rhizophagus irregularis (Glomus intraradices), souche Pont rouge DAOM 181602  (Min: 500.0 spores/g, Max: 500.0 spores/g) ;;Préparation fongique;
MFSC;8310196;ORGATAIRE;N total (Min: 1.2 % MB, Max: 1.8 % MB)  | N organique (Min: 1.2 % MB, Max: 1.8 % MB)  | P2O5 total (Min: 0.5 % MB, Max: 1.0 % MB)  | CaO total (Min: 6.5 % MB, Max: 8.5 % MB)  | C / N (Min: 6.0 , Max: 9.0 )  | Matière organique (Min: 18.0 % MB, Max: 26.0 % MB)  | pH (Min: 11.0 , Max: 12.0 )  | Matières sèche (Min: 35.0 % MB, Max: 45.0 % MB) ;Valeur neutralisante (VN) (Min:  , Max:  )  | Oxyde de magnésium (MgO) total (Min:  , Max:  )  | Fer (Fe) total (Min:  , Max:  ) ;Amendement organo-minéral;
MFSC;6080001;AGRI-BIOTECH MYC;;Matière sèche (Min: 91.0 %, Max: 100.0 %) ;Inoculum d'endomycorhize;
MFSC;1170213;RIZOLIQ TOP;Bradyrhizobium japonicum souche G 49  (Min: 2000000000 UFC/g, Max: 2000000000 UFC/g) ;;Matière fertilisante;
MFSC;1000052;FLORASTIM;;;Matière fertilisante;
MFSC;1180321;RHIZO POWER RHIZOBIUM LEGUMINOSARUM;Rhizobium leguminosarum (Min: 10000000000 UFC/mL, Max: 10000000000 UFC/mL) ;;Matière fertilisante;
MFSC;1190125;GENEO 103;;Carbone organique (Min:  , Max:  )  | Substances humiques* (Min:  , Max:  )  | Acide aminé (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1190124;ASTELIS SUPOR;Cuivre chélaté (Min: 0.1 %, Max: 0.1 %)  | Manganèse chélaté (Min: 1.0 %, Max: 1.0 %)  | Zinc chélaté (Min: 1.0 %, Max: 1.0 %) ;Carbone organique (Min:  , Max:  )  | Silice (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1180792;VEGETAL BETAPHOS;Azote total (Min: 3.8 %, Max: 3.8 %)  | Azote organique (Min: 3.5 %, Max: 3.5 %)  | Carbone organique (C) (Min: 15.0 %, Max: 15.0 %)  | Anhydride phosphorique (Min: 3.0 %, Max: 3.0 %)  | Oxyde de potassium (K2O)  (Min: 2.5 %, Max: 2.5 %) ;;Matière fertilisante;
MFSC;1180802;MATUR PLUS;Matière sèche (Min: 52.6 %, Max: 52.6 %)  | Azote total (Min: 1.5 %, Max: 1.5 %)  | Azote organique (Min: 1.5 %, Max: 1.5 %)  | Oxyde de potassium (K2O)  (Min: 7.0 %, Max: 7.0 %)  | Carbone organique (C) (Min: 15.0 %, Max: 15.0 %)  | Glycine bétaïne (Min: 1.0 %, Max: 1.0 %)  | Méthionine (Min: 1.0 %, Max: 1.0 %)  | Phénylalanine (Min: 1.0 %, Max: 1.0 %) ;;Matière fertilisante;
MFSC;1200152;RHIZO PLANT;Glomus intraradices (Min: 5.0 propagranules/g, Max: 5.0 propagranules/g) ;;Préparation fongique;
MFSC;1180617;SVL-040;Matière sèche (Min: 41.1 % MB, Max: 41.1 % MB)  | Anhydride sulfurique (SO3) total soluble dans l'eau (Min: 28.0 % MB, Max: 28.0 % MB)  | Azote total (Min: 5.0 % MB, Max: 5.0 % MB)  | Azote ammoniacal (Min: 4.9 % MB, Max: 4.9 % MB)  | pH (Min: 2.0 , Max: 2.0 ) ;;Matière fertilisante;
MFSC;1150015;AVENSOL;;;Matière fertilisante;
MFSC;1160008;BIO-ACCESS;;;Matière fertilisante;
MFSC;1200527;NILSAB;Matière sèche (Min: 11.7 % MB, Max: 11.7 % MB)  | Filtrat d'extrait d'algues (Min: 60.0 % MB, Max: 60.0 % MB)  | mannitol (Min: 412.0 mg/100 g, Max: 412.0 mg/100 g)  | Silicium soluble dans l'eau  (exprimé en SiO2 soluble dans l'eau) (Min: 4.0 % MB, Max: 4.0 % MB) ;;Additif agronomique;
MFSC;1000031;KALCIPHOS P-K (S);;;Engrais minéral basique;
MFSC;1190285;DIAMOND NECTAR;Extrait humique (Min: 30.0 %, Max: 30.0 %)  | Azote (N) total (Min: 1.2 %, Max: 1.2 %)  | pH (Min: 8.0 , Max: 8.0 ) ;;Matière fertilisante;
MFSC;6190323;CAP'ORG NPKS;Matière sèche (Min: 8.0 % MB, Max: 12.0 % MB)  | Matières organiques (Min: 4.0 % MB, Max: 6.0 % MB)  | Azote (N) total (Min: 0.5 % MB, Max: 0.8 % MB)  | Anhydre phosphorique total (P2O5) (Min: 0.2 % MB, Max: 0.9 % MB)  | Oxyde de potassium total (K2O) (Min: 0.1 % MB, Max: 0.5 % MB)  | Soufre total (SO3)  (Min: 0.2 % MB, Max: 0.5 % MB) ;Azote (N) ammoniacal (Min:  , Max:  )  | Azote ( N) organique (Min:  , Max:  )  | Cuivre (Cu) (Min:  , Max:  )  | Zinc (Zn) (Min:  , Max:  )  | C/N (Min:  , Max:  )  | Fer (Fe) (Min:  , Max:  )  | pH (Min:  , Max:  ) ;Amendement organique;
MFSC;1190628;PHYSIOSOL;Trichoderma harzianum souche B97 (Min: 1000000.0 UFC/g, Max: 1000000.0 UFC/g)  | Maltodextrine (Min: 98.9 %, Max: 98.9 %)  | Phanerochaete chrysosporium B227 (Min: 100000.0 UFC/g, Max: 100000.0 UFC/g) ;;Préparation fongique;
MFSC;1150010;TERRAFIBRE;Matière sèche (Min: 59.5 % MB, Max: 59.5 % MB)  | Matières organiques (Min: 13.3 % MB, Max: 13.3 % MB)  | K2O total (Min: 0.5 % MB, Max: 0.5 % MB)  | CaO total (Min: 14.0 % MB, Max: 14.0 % MB)  | MgO total (Min: 0.7 % MB, Max: 0.7 % MB) ;N total (Min:  , Max:  )  | Zn Total (Min:  , Max:  )  | Rapport C/N (Min:  , Max:  ) ;Amendement organique;
MFSC;1170379;AGTIV CULTURES SPECIALISEES POUDRE;Rhizophagus irregularis (Glomus intraradices), souche Pont rouge DAOM 181602  (Min: 6000.0 spores/g, Max: 6000.0 spores/g) ;;Préparation fongique;
MFSC;1200547;TONILIN;Anhydride sulfurique (SO3) soluble dans l'eau (Min: 13.6 %, Max: 13.6 %)  | Zinc (Zn) soluble dans l'eau (Min: 11.0 %, Max: 11.0 %)  | Filtrat d'algue Ascophyllum nodosum (GA 142) (Min: 10.0 %, Max: 10.0 %)  | pH (Min: 2.1 , Max: 2.1 ) ;;Matière fertilisante;
MFSC;1171289;RHIZOBAS;Bacillus amyloliquefaciens (Min: 1.0 %, Max: 1.0 %) ;;Matière fertilisante;
MFSC;1180706;MYKE PRO GAZON G;Glomus intraradices souche Pont rouge (DAOM 181602) (Min: 15.0 spores/g, Max: 15.0 spores/g) ;;Préparation fongique;
MFSC;1180074;KTS;Oxyde de potassium (Min: 25.0 %, Max: 25.0 %)  | Potassium (Min: 21.0 %, Max: 21.0 %)  | Anhydride sulfurique (SO3) (Min: 42.0 %, Max: 42.0 %)  | Soufre élémentaire (S) (Min: 17.0 %, Max: 17.0 %)  | pH (Min: 0.0 , Max: 0.0 ) ;;Matière fertilisante;
MFSC;1150018;OVALIS RHIZOFERTIL;Pseudomonas putida souche I-4613 (Min: 100000000 UFC/g, Max: 100000000 UFC/g) ;;Préparation bactérienne;
MFSC;1180286;PURE ZYM;Activité de la cellulase (Min: 274.0 BPU/g, Max: 274.0 BPU/g)  | Activité de la bêta-glucanase (Min: 2.0 FBG/g, Max: 2.0 FBG/g) ;;Engrais;
MFSC;1180643;BACTIVA;Trichoderma viride (Min: 200000.0 UFC/g, Max: 200000.0 UFC/g)  | Trichoderma reesei (Min: 200000.0 UFC/g, Max: 200000.0 UFC/g)  | Trichoderma harzanium (Min: 100000000 UFC/g, Max: 100000000 UFC/g)  | Trichoderma harzanium (Min: 200000.0 UFC/g, Max: 200000.0 UFC/g)  | Gliocladium virens (Min: 200000.0 UFC/g, Max: 200000.0 UFC/g)  | Bacillus subtilis (Min: 15000000 UFC/g, Max: 15000000 UFC/g)  | Bacillus subtilis (Min: 79000000 UFC/g, Max: 79000000 UFC/g)  | Bacillus polymyxa (Min: 6000000.0 UFC/g, Max: 6000000.0 UFC/g)  | Bacillus megaterieum (Min: 650000.0 UFC/g, Max: 650000.0 UFC/g)  | Pseudomonas fluorescens (Min: 7000000.0 UFC/g, Max: 7000000.0 UFC/g)  | Oxyde de potassium (K2O)  (Min: 0.7 %, Max: 0.7 %)  | Azote total (Min: 0.2 %, Max: 0.2 %) ;;Engrais;
MFSC;1171284;KSC I PHYT-ACTYL;Matière sèche (Min: 95.0 %, Max: 95.0 %)  | Azote total (Min: 14.0 %, Max: 14.0 %)  | Anhydride phosphorique (Min: 40.0 %, Max: 40.0 %)  | Oxyde de potassium (Min: 5.0 %, Max: 5.0 %)  | Anhydre sulfurique SO3 (Min: 13.0 %, Max: 13.0 %)  | Bore (B) (Min: 0.1 %, Max: 0.1 %)  | Cuivre chélaté (Min: 0.05 %, Max: 0.05 %)  | Fer chélaté (Min: 0.1 %, Max: 0.1 %)  | Molybdène (Mo) (Min: 0.01 %, Max: 0.01 %)  | Zinc chélaté (Min: 0.1 %, Max: 0.1 %)  | Extrait d'algues (Min: 0.7 %, Max: 0.7 %)  | pH (Min: 6.3 , Max: 6.3 ) ;;Matière fertilisante;
MFSC;1171281;KSC III PHYT-ACTYL;Matière sèche (Min: 95.0 %, Max: 95.0 %)  | Azote total (Min: 15.0 %, Max: 15.0 %)  | Anhydride phosphorique (Min: 5.0 %, Max: 5.0 %)  | Oxyde de potassium (Min: 35.0 %, Max: 35.0 %)  | Bore (B) (Min: 0.1 %, Max: 0.1 %)  | Fer chélaté (Min: 0.1 %, Max: 0.1 %)  | Molybdène (Mo) (Min: 0.01 %, Max: 0.01 %)  | Extrait d'algues (Min: 0.7 %, Max: 0.7 %)  | pH (Min: 6.2 , Max: 6.2 ) ;;Matière fertilisante;
MFSC;1171292;AMALGEROL ESSENCE;Azote total (Min: 2.0 %, Max: 2.0 %)  | Azote organique (Min: 2.0 %, Max: 2.0 %)  | Potassium (Min: 3.0 %, Max: 3.0 %)  | Matières organiques (Min: 43.0 %, Max: 43.0 %)  | pH (Min: 5.5 , Max: 5.5 ) ;;Matière fertilisante;
MFSC;1190373;LIQUIFIX;Bradyrhizobium japonicum souche SEMIA 5079 (Min: 3000000000 , Max: 3000000000 )  | Bradyrhizobium  diazoefficiens SEMIA 5080 (Min: 3000000000 , Max: 3000000000 ) ;;Préparation bactérienne;
MFSC;1190371;NANEOS;Matière sèche (Min: 1.5 %, Max: 1.5 %)  | Carbone organique (C) (Min: 0.29 %, Max: 0.29 %)  | Acides aminés totaux (Min: 6.8 g/L, Max: 6.8 g/L)  | Azote (N) total (Min: 0.14 %, Max: 0.14 %)  | Anhydride phosphorique (Min: 0.028 %, Max: 0.028 %)  | Oxyde de potassium total (K2O) soluble dans l'eau (Min: 0.035 %, Max: 0.035 %)  | Oxyde de calcium total (CaO) (Min: 0.029 %, Max: 0.029 %)  | Chlore (Cl) (Min: 0.32 %, Max: 0.32 %)  | pH (Min: 6.1 , Max: 6.1 )  | Densité (Min: 1.0 , Max: 1.0 ) ;;Matière fertilisante;
MFSC;1180800;FERTIACTYL SALTO;Anhydride phosphorique (Min: 5.0 %, Max: 5.0 %)  | Oxyde de potassium (K2O)  (Min: 13.0 %, Max: 13.0 %)  | pH (Min: 10.0 , Max: 10.0 ) ;;Matière fertilisante;
MFSC;1180803;ACTIVE DRY;Matière sèche (Min: 97.0 % MB, Max: 97.0 % MB)  | Azote organique (Min: 4.0 % MB, Max: 4.0 % MB)  | Oxyde de potassium (K2O)  (Min: 12.0 % MB, Max: 12.0 % MB)  | Carbone organique (C) (Min: 20.0 % MB, Max: 20.0 % MB) ;;Matière fertilisante;
MFSC;1170378;PRE-INOCULANT MYCORHIZIEN;Rhizophagus irregularis (Glomus intraradices), souche Pont rouge DAOM 181602  (Min: 16000.0 spores/g, Max: 16000.0 spores/g) ;;Préparation fongique;
MFSC;1180795;CROP-SET;Matière sèche (Min: 28.4 %, Max: 28.4 %)  | Anhydre sulfurique SO3 (Min: 4.2 %, Max: 4.2 %)  | Soufre élémentaire (S) (Min: 1.2 %, Max: 1.2 %)  | Manganèse (Mn) total (Min: 1.5 %, Max: 1.5 %)  | Fer (Fe) total (Min: 0.6 %, Max: 0.6 %)  | Cuivre (Cu) total (Min: 0.2 %, Max: 0.2 %) ;;Matière fertilisante;
MFSC;1170050;HICOAT SUPER;Bradyrhizobium japonicum (Min: 1100000000 UFC/g, Max: 0.0 UFC/g) ;;Matière fertilisante;
MFSC;1170482;RHIZO N;Matière sèche (Min: 82.0 % MB, Max: 82.0 % MB)  | Carbone organique des acides humiques (Min: 30.4 % MB, Max: 30.4 % MB)  | Carbone organique des acides fulviques (Min: 6.2 % MB, Max: 6.2 % MB)  | Acide aminé (Min: 5.5 % MB, Max: 5.5 % MB) ;;Matière fertilisante;
MFSC;1000045;RAYKAT ENRACINEUR;;;Matière fertilisante;
MFSC;1210363;BORREGRO HA-1;Matières sèche (Min: 92.0 % MB, Max: 92.0 % MB)  | Substances humiques (Min: 80.0 % MB, Max: 80.0 % MB)  | pH (Min: 10.0 , Max: 10.0 ) ;Oxyde de potassium (K2O) total (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1150014;NITRAGIN GOLD;Sinorhizobium meliloti souche NRG-185 (Min: 300000000 UFC/g, Max: 300000000 UFC/g) ;;Préparation bactérienne;
MFSC;1000046;AMINOCAT;;;Matière fertilisante;
